sample_accession,A0A075B6H9,A0A075B6I0,A0A075B6I9,A0A075B6K4,A0A0B4J1U7,A0A0B4J1V0,A0A0B4J1V2,A0A0C4DH27,A0A0U1RRE5,A0A0U1RRL7,A0A1B0GTU1,A0A3B3IS91,A0AV96,A0AVF1,A0AVT1,A0FGR8,A0M8Q6,A0MZ66,A0PJW8,A1A5D9,A1KZ92,A1L020,A1L0T0,A1L170,A1L390,A1X283,A1Z1Q3,A2A288,A2A2Y4,A2PYH4,A2RRP1,A2RTX5,A2RTY3,A2RU67,A2RUC4,A2RUS2,A2VDF0,A2VDJ0,A3KMH1,A3KN83,A4D0S4,A4D161,A4D1E9,A4D1P6,A4D1S0,A4D1S5,A4D2P6,A4FU49,A5D8V6,A5YKK6,A6NC98,A6NCS6,A6ND36,A6NDB9,A6NDG6,A6NDU8,A6NE01,A6NE02,A6NED2,A6NEL2,A6NFI3,A6NGN9,A6NHL2,A6NHQ2,A6NHR9,A6NHT5,A6NI56,A6NIH7,A6NJ78,A6NK58,A6NKC9,A6NKD9,A6NKF1,A6NKG5,A6NNB3,A6QL63,A6ZKI3,A7KAX9,A7MBM2,A8K2U0,A8K7I4,A8MT69,A8MTJ3,A8MVW0,A8MW92,A8MWV9,A8MXV4,A8MYA2,A8MYZ6,B0I1T2,B0YJ81,B1AK53,B1ANS9,B2RUZ4,B7Z8K6,B7ZAP0,C9J069,C9JI98,C9JLW8,CONTAMINANT_A2A4G1
PXD030304-Sample-113,,,,,,,,,6.2504765360219885,5.931398167093585,,,,,6.053102254346408,5.594368049085758,,5.735665674134583,5.702209070013091,,,5.899569997627852,5.927584482262896,,,5.58086492153709,,,,4.59471665723971,5.190322511048676,,,,,,,,5.590672331549072,5.341272724153574,,,5.749989773738981,4.939129059328261,,,,5.365243437521066,6.074800381742419,5.815343765279057,4.635622837950169,,,,6.262779960138959,,4.944119717604536,,5.5547283650573,4.989241087706138,,,5.238984538382777,5.3405396761951565,6.161389710931584,5.313350276672146,5.528581502211262,6.097334560842578,5.471520963971698,,,5.776962622311477,5.277343910236348,,,,5.63938970787396,4.576598867261562,,,,5.7200005920551575,,5.082685139717917,,,6.18870016040016,,,4.832057614686373,,,,,,5.338359712209979,,,6.486707344606117,
PXD030304-Sample-114,,,,,,,,,5.896816070496473,5.833630534047233,,,6.101792409191363,,6.165122273986879,6.028190118881972,,6.263850295888116,,5.048431848929488,,5.158883699320628,6.242717025863696,,5.462020926816381,4.804568467320873,5.505005324326874,,,4.9730733615692575,5.237003392720741,4.836613948580206,,5.045822767254047,5.188572698049619,,,,6.040438195529055,4.930037417122312,4.534935133183447,5.353382946695611,5.897962510693382,5.319686747064997,,5.332413581922325,,4.962275048337796,5.577201201820798,5.799436837720372,,5.330842407337665,,,6.170298164583258,5.200955559978594,4.806245227874246,,,5.010225222214044,5.151018229221976,,5.1162210152555,,6.024263059199342,,5.429150553632387,6.0025905604044745,5.368892011923723,,,5.496104388969174,5.490194407875095,,,,5.844098539720315,4.500302573284493,4.718887343866635,,,5.910970844791512,,,,,6.32015937944781,,,4.71490439504775,,5.503357762851825,,,,5.255722335591514,4.749394002376367,6.0522219871274565,6.379405960797165,4.989508231803229
PXD030304-Sample-115,,,,,,,,,6.298860958975263,6.274068084803655,,,5.980427112670137,5.048134845664967,5.911168826732667,6.457386514391594,,6.042646660455432,,5.678780731391958,,5.244992773695985,6.403166780176421,5.876984858237607,,5.278650799796782,,,,4.615864174142974,5.234363514311026,,,,,,,,5.977347030122614,,,,5.967697438983858,5.286372088306852,,5.407433800761922,,5.091281597387752,6.106967717664038,5.679730595855376,,,,5.960878584888035,5.644650044051684,,4.97543707527786,,,5.398234758786826,,,,5.399924337531028,6.149223883759992,,5.260916836794488,5.529394198529215,,5.573648746581255,,,,,,,,4.911335859927204,,,,6.033245672265366,,,,,6.280514640756376,,,5.5714714876471545,,,,,,5.398266868029918,5.247027968651397,5.909343055790434,6.035392358590277,5.778399427905519
PXD030304-Sample-116,,,,,,,,,,6.200063732392586,,,,,6.03272041072465,6.229689580563578,,6.363437361418082,,,,5.200058846917673,6.34710920026755,,5.118529699738026,5.920142646727621,5.262403279386839,,,4.870003377472671,5.458193298527821,,,,,,,,5.911269075055198,4.725388026482199,,,5.964758614324998,5.786362277860963,,5.355115854694546,,5.037603524058948,5.614956453367254,5.732315267956564,,,,,6.109900911634651,5.262258415801456,4.886052204216227,,,,,,5.208176672341617,5.335065533972864,5.992642416369275,,5.353929498875127,5.76292536622608,5.610896466082211,5.495324323841257,,,,,,,5.607185077609167,4.576729066398013,,4.702988368798004,4.872075033443357,5.6665363178646615,,,,,6.006532249923526,,,4.840138040071185,,,4.801731425400065,,,5.2949736427981895,4.871591603583013,,6.3648694288553385,
PXD030304-Sample-117,,,,,,,,,,6.294515357825935,,,5.9757881927506,5.031543164332875,5.745494992990985,6.238880516835462,,5.308271705141944,,,,,6.2857630128313575,,5.400433629894106,5.047240993150136,,,,4.648814990255486,5.408289287705586,,,5.2005222262913575,5.313502674270309,,,,5.894289757794051,,,,5.800867164985623,,5.352024745838106,,,5.088928608907908,5.82348730461133,5.288593065614973,4.680373535505921,,4.971363133295698,,5.636578215149935,,4.95671738143288,,,,,,,5.514624342896502,6.139224217508231,,5.24670578751947,5.857352461141187,,5.5839572047036405,,5.369284686223247,,,,,5.679240337297729,4.64651765773151,,,,,,,,,6.486899155823014,,,5.176850579971745,,,,,,5.380485367909623,,5.912056999984171,6.056443115602297,5.638895538325281
PXD030304-Sample-118,,,,5.76003634616077,,,5.606358370430256,,5.789666480795327,,4.755626256836393,,,,6.191942059965539,5.761152339023245,,,5.517297705505694,4.971770159369226,,5.993738581063112,6.213212334658934,5.678173690153837,4.687740398693905,5.5535107902379925,,,,4.724636127248608,5.171541513603422,4.772598709638647,4.887080365182897,5.463013280785574,5.393104813687297,4.59166969871643,,,5.822244615064721,5.170344213393624,,5.247912662004247,5.876573593048835,5.478119459198943,,,4.655341630560485,4.877188410910103,5.838742804222788,5.889761770528599,4.4615615364021,5.260442476559902,,5.741947638666359,6.251346917714371,5.1374505472817855,4.7321359977253845,,5.0887979114637645,5.169053995575921,5.087181926616821,,5.324516536228534,5.5832397225755255,6.108640041475393,5.157142080960295,5.626706165488655,6.18218458074625,4.997339275436556,5.366202329002743,,5.924349126832194,5.423992353941263,,,4.97745639905651,5.484304758097611,4.704315448306649,4.91689315437686,4.553474113683946,,5.833101206927378,,4.929632030401529,5.285554760929602,,5.866597667206443,4.947986881118245,5.191896948410395,4.938509936530069,,,4.638710741011602,,,5.477302788825552,5.230369587195463,,6.376585636651795,
PXD030304-Sample-119,,,,,,,,,,6.150598752822316,,,,,6.026928273899275,6.2084139454869,,5.645066793556501,,,,,6.274718088698602,,,5.88129013399316,,,,4.503643527588824,5.106079229787894,,,5.378399885784379,5.184910271344766,,,,5.88907575147921,4.633946245681155,4.53368257926119,5.341732370811822,5.53522889133563,5.728912603150902,,,,4.985615526549645,6.038800665691341,5.553603191360408,4.533296912073626,5.338072906079279,,,6.1739219164813015,,4.851466970118694,,,,,,5.1093940047751545,5.257208569821181,6.06134538462981,,5.411439972635615,6.26760454867939,5.390321110048841,5.451824454264042,,,,,,,5.538361194049585,4.802493558185856,,,,5.910418783124866,,,,,6.344793432843748,5.327376954495239,,4.712205281788492,,,5.027826430033448,,5.439341443619516,5.254171263145841,5.10061544413652,,6.307168689494288,
PXD030304-Sample-12,,,,,,,,,,,4.926552327430481,,,,5.9845444718949246,5.952125587027197,,4.9805825228283,,,,5.532413096081923,6.025706684356023,,,6.077072014664772,,,,4.59601653212355,5.4715646642334255,,,,,,,,5.526110609651265,,4.64689795801763,,5.629353612068828,4.962881453141019,,,,5.084501562574858,5.678590556795492,5.519607268735559,,,,,6.08654923854481,,4.700352403748149,,,5.322227275292388,,,5.222110528442708,5.322552637133509,6.004554698101655,,5.265066156286328,5.808924855907143,5.663011311398046,5.54970425069712,,5.3142474276002245,,4.7579656581312895,,5.172032103337072,5.650957607073423,4.876159897201768,,,,5.698930522351832,,,,,5.833670654510325,,,5.172058452462873,,,,,,5.350839297859972,,5.850831613492363,6.4239695406402095,
PXD030304-Sample-120,,,,,,,,,,6.25236790782863,,,,,5.706325937638066,6.263414201305803,,,,,,,6.455066261241295,5.560657312856813,5.5771564679826255,6.149851690918931,,,,,4.502157140556727,,,5.481909824102009,5.5797978183279735,,,,5.524397496834983,,,,5.86573019236798,5.82227683094482,,5.41631849586289,,5.060095800325282,6.162615324204719,5.436790970098922,,5.434038476050942,,,6.010948585024083,5.616117781284161,4.632531494603668,,,5.3626881186019935,4.964502863899699,,5.208944766731453,5.320331568192582,5.840295952720449,,5.614635655758273,5.9901968547562205,,,,,,,,,5.642375026009128,4.624385062374024,,,,5.732643523450138,5.295765562709897,,,,5.844884717493676,5.580369490754371,,,5.953773737627091,,4.874617263984326,,,5.368876295313439,5.262443832532187,,6.423150654606548,5.096218901160941
PXD030304-Sample-121,,,,,,,,,,,,,,,5.663208939028757,6.073510387802506,,6.165749813790265,,,,,5.94360959501549,,,5.7177765638774725,,,,,5.282955946993842,,,5.2587353438341164,5.344017274467657,,,,5.858872642298557,4.816360777563695,,,5.2241330552585135,5.351828962251998,,,,5.4499692275410725,5.8261797200477385,5.508905895721539,,,,,,,5.010531570251631,5.433192104752686,,5.403563012398971,,,5.341989736286151,,5.93386963078555,5.40738882247732,5.324998845704081,6.066576020885828,,,,,,,,,5.7216862940057895,,4.90389475017081,,,6.082826601996484,,,,,5.908436180976312,5.319737229468127,,,,,,,,5.420241336165534,5.23991054380863,,6.400930459084218,5.176699631867025
PXD030304-Sample-122,,,,,,,,,5.95782421197738,,,,,,6.174302415408521,6.02909010817085,,6.388016567526275,,,,5.540434211496311,5.467081639466654,5.559296288351583,5.188923214602532,6.220814234536152,5.318567881867802,,,,4.807801418795562,,,5.167459600095572,5.606046541833753,,,,5.736421196387469,4.745524682934771,,,5.180619792196032,5.45327755515968,5.798803734003401,5.4335483197042365,,5.377681285987944,5.658479117476731,5.561549242277766,,5.941101365145136,,,6.017165661241245,,4.932127861441564,,,5.073702017071541,,,5.224072362978396,5.3603200509363225,5.019909888873731,,5.339443836722375,6.22142527420403,,,,,,,,,5.6467431396024805,4.602718417869252,,,,6.010091683770624,,,,,6.069738511074959,6.106220715833565,,5.1693017424513545,,,4.846003282836906,,,5.654697484073948,5.201254047656239,5.874096721970506,6.199542380042727,5.1061537798111525
PXD030304-Sample-123,,,,,,,,,,6.216578137908257,,,,,5.819778890580718,5.808142213257463,,5.918353679009037,,,,,6.252929640461233,,5.1091689594290965,5.665169167912959,,,5.118169115192514,,5.226316330521326,,4.9842663634449735,,5.224437931805348,4.697731017567774,,,5.4748166478468585,4.677402982162283,,,5.881828627947301,5.763290155457014,,5.333535099654402,,5.028431026819718,5.995926297730729,5.324929433990845,,,,,6.254641445222299,,4.86980828899249,,,5.287431802915342,5.215476622252266,,5.152994817307422,5.320983088434601,5.8557177864297625,,5.361171182388133,5.9212250502524695,5.422586716499019,,,,,,,,5.595665338334665,4.710997164354181,,,,,,5.035807861342271,,,5.767167391681689,5.386950399068287,,,,,4.756987282977313,,,5.296662967503981,4.840998889670033,,6.359865982050783,
PXD030304-Sample-124,,,,,,,,,,6.239039499225495,,,5.802653447968328,4.980425231273211,5.724222320012278,6.262111878648918,,6.247027661006115,,,,,6.448104071855573,,5.3248126010008985,5.301321375467137,,,5.136588606342829,4.570871607544886,5.384596793695278,,,5.1364670017123375,5.252209919487806,,,,6.089446218911886,,,,6.036891616017215,5.528484041768135,,,,5.059367933566333,5.9862368004085456,5.682714701912742,,5.401912426427072,4.896206875511355,,6.061956407283697,5.292046144171428,4.574688412106382,,,5.093152527455046,,,,5.282274146461782,5.75976792791877,,5.308011240729887,,5.768834880448308,,,5.587071577795706,,,,5.129142157096962,5.618268340545923,4.600024688613902,,,,5.670777305369317,,5.079356929180918,,,6.4538986189707215,5.121078068223317,,5.299314128132992,,,4.80927375677191,6.348592818254311,,5.316567400656299,5.157749094619144,6.129757656027984,5.981389155623725,5.456501632587131
PXD030304-Sample-125,,,,,,,,,,5.8837775942583646,4.861542249550424,,5.871849707445199,4.93918564296144,5.967887592383012,6.301601612954066,,5.859579163502393,,,,,6.358416002058174,,5.414187240624209,5.115635868861473,,,,4.543975980272756,5.710989515653802,,,5.397612241351049,,,,4.640760788370813,5.930697418211409,5.297684282764248,,,5.946516730074316,4.88488586129927,6.029298722178069,,,4.985441610972014,,5.7553631765337165,,5.40201433527365,5.216168743070355,,6.150518926962476,,4.88305170635453,,,,,,,5.426497253073574,5.919316532838563,,5.265936292670685,,5.602749270076947,,,,,,,,5.57771153252776,4.550293065316692,,,,5.630065750970351,,5.037970738004627,4.770769426024373,,6.341026322239307,,,4.751075648087295,,,4.752617526310443,,,5.300512585960895,5.2954355322129,5.808658301366791,6.116190425369915,5.072662425663993
PXD030304-Sample-126,,,,,,,,5.657414106984879,,5.899052233633488,,,5.672368472732489,4.945929127764701,5.9897515393160825,6.029523623204623,,6.282716224152456,,,,5.948009438577085,6.037015960382234,,5.52597123979184,5.632101762555847,,,,4.86784381669734,5.243191918139093,5.396873103635565,5.001037810756492,5.604444127322379,5.558129115317719,4.720697713085007,,,5.080653013661295,4.696450882310299,,5.729404409060024,5.414712918410289,5.2117762682591335,6.124205052864387,,,5.0328095005503,5.976889174705319,5.778200345675676,,,4.880227842291773,,6.177497776150492,5.753606923362614,4.635381974168312,5.80166677306588,,4.984023881226838,,,5.2061985256687375,5.276733462228954,6.119530231678755,5.2969974316887205,5.4609031106096815,6.173112599659304,,,,5.758769632302584,,,,,5.91920960426806,4.534140581526055,,,,,,5.055054963209972,4.79972420431565,,5.31478329348255,,5.326041505503066,,,,4.791520465671094,,,5.306960094813609,,,6.53290007358319,5.0948189739511855
PXD030304-Sample-127,,,,,,,,,5.941839091335418,5.853977617889874,4.841978618782048,,,,5.996470191353666,6.080234426639827,,5.968886352112564,,,,5.925647209160161,6.088902204257513,5.796424666477119,4.791384292176222,,5.715950950217721,,,4.540761107757958,5.325035881569564,,,5.568822727214092,,,,,5.758588525603222,4.9523204892185815,,5.677095074975416,5.773361701624111,5.178372939970717,,,,4.975329875733088,5.941813255635761,5.9064424084378,,,,,6.006390105930128,5.535450526480399,4.872478887517491,,,5.001633195134264,5.185732701352471,,5.436911232772851,5.55422154225927,6.254437790187401,5.359602627628192,5.340447718038781,6.1389866839195175,5.393264536079799,,,5.713077234881564,,,,,5.8855277834934965,4.818578776200412,,,4.83604913816729,5.918870528174047,,5.492036138464541,5.058749087266799,,6.177849827391778,,5.281923445960825,4.744891011654675,,5.046571905193999,,,,5.2715152199928905,,5.786774680743704,6.335917045335449,
PXD030304-Sample-128,,,,,,,,,,5.873091694560821,4.879579424990872,,,,6.100610194641585,5.936180857376755,,6.1878231982805065,,,,5.941149474998307,6.092054427311885,,5.101840339451624,4.82496162884595,5.735546217980916,4.985871108384505,,4.8320650824057205,5.519687897298332,,,5.401629556075744,5.50317520471099,,,,5.404614675803448,4.669436377687808,4.557759479323527,5.688949922423924,5.864032261552279,5.734014909901242,,,,,5.652634457386823,5.5919497632914,,5.361739879579044,,,5.952902499895675,5.252109809758184,4.876257018066591,,5.497951412023828,,5.1977125020964,,5.26871577453756,5.837373429266322,6.218464570688154,5.819581283702886,5.393172128734347,6.296937329089683,5.417839750550323,,,5.24415066209392,5.528856694829897,,,,5.5737475847076565,4.830197106496501,,,4.851028654653273,5.94974079237049,,,5.268875091396704,,6.245472912123574,5.0662255917058845,,4.779396484678645,,5.399344703023736,,,,5.586579634567645,4.775981883046914,,6.434693331175457,
PXD030304-Sample-129,,,,,,,,,6.308437653747913,,,,5.95401225035177,4.938839020314415,6.113067290990575,6.231609867801975,,6.452323104026889,,,,5.160167909564179,6.061153559857931,,5.311812048966465,5.285646828830371,5.749049734665867,5.002935240578043,,4.849762264805746,5.055653672085451,,5.022805829403112,5.414350392855165,,,,,4.774004227876091,5.000304031851126,,5.694879057430574,5.569170902801563,,5.25439095601446,,,5.035669587358875,5.967859025464667,5.961628628077081,4.947794015078229,,,,6.30724421172401,,4.922669243021275,,,5.324181719156522,,,5.482726216375491,5.838323900338239,6.23603801351582,,5.236942407597055,6.171468138090727,,,,5.251582111494008,5.260759865427983,4.695389049320029,,,5.905513438838248,4.824188811851448,,,,5.9555071353448135,,5.344748415244509,5.099899066879257,,5.91667743219647,,,,,,4.7835060551282576,,,5.615292608997739,,6.097879447588114,6.453101508977813,5.049412209305692
PXD030304-Sample-13,,,,,,,,,,5.8606075501659,,,,,5.999366003429999,6.176281079452247,,5.586043754864802,,,,,6.199629633112368,,5.099708541195455,5.878161095813522,,,,4.812921885725406,5.125148787165847,,4.980768107880444,,5.497151721695365,,,,5.648730589315917,,4.546642271808702,,5.858639615434567,5.181273853377649,,,,5.28632249264166,6.072579547648576,5.779999516317338,,,5.180654569172043,,5.9243022682886926,5.72011469762601,4.841051621266123,5.15012043221904,5.490168265063051,5.245452291959781,,,5.148994439800777,5.27725977335862,5.987548039746803,,5.299349971276211,5.732422430007129,5.582113943975973,,,5.536223718368745,5.217584095033021,,,,5.576071616202128,4.523315834062663,,,4.842471073786875,5.930602308961224,5.20814838667265,5.095958039837576,4.760081387441268,,6.18521384875956,,5.307668016241928,4.739333827974629,,,5.036838762948273,,,5.288211684618836,5.599294694441282,,6.415734468098935,5.33205993018752
